№,Surname,стр
1,Мизецкий,361
6,Липовецкий,361
7,Стовбыра,361
8,Грабарь,361
10,Бойко,361
11,Бойко,361
12,Колыник,361
13,Федорченко,361
15,Сыч,361
16,Соколовский,362
19,Стовбыра,362
24,Суббота,362
25,Токарь,362
26,Касиченко,362
27,Бондаренко,362
23,Касичова,362
30,Искра,362
32,Белобровь,362
33,Мартиненко,362
26,Вдовиченко,362
27,Грушевенков,362
28,Медведев,362
29,Онищенко,362
31,Вараптуров,362
32,Сычева,362
33,Шатулина,362
36,Кравченко,362
37,Шарянкова,362
35,Лисенко,362
36,Дряпой,363
39,Рубан,363
44,Бондарь,363
43,Карапотенко,363
46,Липниченко,363
49,Бондаренко,363
52,Рубан,363
53,Бондаренко,363
56,Бойко,363
65,Ткаченко,363
68,Скрипченко,363
68,Мовчан,363
74,Третьяк,364
76,Кутовой,364
77,Паталих,364
82,Гой,364
81,Оноприенко,364
86,Демьяненко,364
96,Шевченко,364
100,Федорченко,364
102,Сыч,364
113,Сличенко,364
109,Сыч,364
113,Головань,365
116,Высоцкий,365
117,Белоус,365
125,Коваленко,365
127,Федорченко,365
135,Слободянник,365
139,Соломка,365
153,Майк,365
148,Слободянник,365
155,Соломка,365
159,Кушта,366
161,Корен,366
170,Дубов,366
172,Онищенко,366
174,Даниленко,366
169,Соломка,366
177,Шатулина,366
172,Мурга,366
176,Вишенский,366
183,Соломка,366
189,Вош? Ващенко?,366
185,Бондаренко,366
191,Лис?,366
188,Бондаренко,366
193,Багриенко,366
195,Ващенко,366
199,Онищенко,367
203,Бондаренко,367
204,Дзюндзя,367
212,Рябошапка,367
225,Чоповина,367
214,Соломка,367
219,Мовчан,367
221,Белобровь,367
222,Дряпой,367
223,Мурга,367
234,Ненька,367
237,Тарасенко,367
239,Бондаренко,367
243,Корженко,368
246,Бондаренко,368
252,Атамашенко,368
254,Куприяненко,368
260,Высоцкий,368
263,Пустовойт,368
266,Драпой,368
270,Корж,368
272,Бойко,368
291,Драпой,368
274,Бабий,368
282,Пустовойт ,368
286,Наконешный,369
317,Драпой,369
296,Белобровь,369
300,Драпой,369
301,Ткаченко,369
324,Головань,369
326,Кучеренко,369
328,Марковцов,369
307,Евтушенко,369
309,Мурга,369
345,Шевченко,369
312,Яценко,369
351,Олейник,369
316,Соломка,369
321,Олейник,369
323,Шарий,369
326,Федорченко,369
328,Осадчий,370
331,Ходак,370
367,Лисенко,370
368,Суббота,370
335,Онищенко,370
340,Кривобок,370
343,Соломка,370
344,Олейник,370
345,Дубовой,370
348,Ворона,370
356,Янитденко?,370
396,Олейник,370
397,Грушевый,370
358,Кутовой,370
363,Литвин,370
405,Стовбыра,370
366,Ткаченко,370
370,Соломка,371
374,Сыч,371
418,Шинерих?,371
377,Драпой,371
422,Бойко,371
383,Белобровь,371
392,Кутовой,371
439,Пинем?,371
405,Василенко,371
449,Кравченко,371
411,Белобровь,371
412,Головань,372
419,Шевченко,372
420,Сыч,372
421,Токаренко,372
458,Гноевой,372
424,Бондаренко,372
429,Огаренко,372
467,Кутовой,372
470,Белобровь,372
439,Кучиренко,372
444,Белобровь,372
446,Удовенко,372
447,Валантирец,372
485,Басараб,372
487,Мазий,372
452,Паталих,372
454,Кривобок,372
458,Танчиченко?,373
462,Белобровь,373
464,Наконешный,373
512,Кушта,373
470,Драпой,373
477,"Вивчар, Вивчаренко",373
521,Бондаренко,373
479,Кутовой,373
525,Корж,373
527,Бурга?,373
481,Буренко,373
482,Слободяник,373
531,Кушта,373
488,Полывяный,373
490,Стодильный,373
545,Даниленко,373
492,Слободяник,373
493,Белецкий,373
495,Зубриенко,373
496,Полывяный,374
500,Кушта,374
501,Ковтун,374
510,Соломка,374
513,Лисовол,374
517,Сыченко,374
518,Сторчевой,374
523,Голубец,374
527,Полывяный,374
535,Мурга,374
538,Дубовой,374
601,Голубец,374
545,Морий?,375
546,Мокриенко,375
605,На?,375
548,Ковтун,375
551,Березовеный,375
614,Соломка,375
553,Лелетаренко?,375
555,Ковтун,375
556,Тупица,375
559,Белецкий,375
560,Голубец,375
627,Копыла,375
562,Копиленко,375
563,Белобровь,375
564,Касич,375
633,Бойко ,375
634,Белобровь,375
569,Яценко,375
571,Цивара,375
639,"Напри?, Цивар",375
572,Копил,375
577,Голубец,375
588,Купиленко,375
658,Полывяный,375
590,Огаренок,376
662,Грушевый,376
594,"Масиенко, Мазий",376
597,Мазий,376
598,Кучеренко,376
670,Федорченко,376
600,Дубовой,376
602,Полывяный,376
672,Москалец,376
613,Токарь,376
616,Кучеренко,376
691,Флоров,376
693,Поленова,376
619,Флоровеный,376
621,Бойко,376
702,Третьяк,376
632,Головань,377
707,Кушта,377
710,Овдеенко,377
639,Бабаченко,377
721,Драпой,377
642,Бабак,377
643,Москалец,377
644,Бабак,377
653,Голубец,377
658,Гуцало,377
664,Токаренко,377
665,Иванов,377
667,Полывяный,377
669,Бацоя? Дац?,377
748,Непри?,377
671,Токаренко,378
675,Тупица,378
678,Токаренко,378
682,Голубец,378
685,Анур?,378
686,Драпой,378
688,Прокопец,378
693,Драпой,378
783,Багрий,378
696,Голубец,378
788,Нандик?,378
790,Токарь,378
797,Лисенко,378
800,Кири?,379
801,Субота,379
802,Кучеренко,379
803,Третьяк,379
806,Багрий,379
807,Субота,379
808,Бондаренко,379
809,Кравченко,379
812,Подру?,379
813,Кравченко,379
814,Соломка,379
815,Кучеренко,379
817,Карапотенко,379
819,Паталих,379
