Прізвище,Примітка
Погребняк,
Крамаренко,
Чижевський,
Баран,
Демидовський,
Красанчук,
Кнуренко,
Лановенко,
Чабан,
Макуш,
Похитайло,
Ткачук,
Горобець,
Горбцева,
Хмель,
Пустовойт,
Марченко,
Довгополий,
Гончаренко,
Ганчаренко,
Куций,
Рябий,
Липовецький,
Фіщенко,
Шевченко,
Нога,
Безталаний,
Чмига,
Павлушенко,
Нетребка,
Малихатка,
Горбатюк,
Наливайко,
Чернявський,
Новохацький,
Маньков,
Довжук,
Довгань,
Рудюк,
Мидинський,
Струцький,
Мосієнко,
Дебко,
Кондратюк,
Поліщук,
Негуренко,
Мированний,
Овчарук,
Маруда,
Швець,
Хмелик,
Волощук,
Мазуренко,
Подопригора,
Панасюк,
Бідак,
Левченко,
Вовчок,
Вовчек,
Вовк,
Ржаников,
Даценко,
Кристаль,
Рибак,
Гавага,
Фещенко,
Кузьмин,
Погребняк,
Мазуренко,
Новак,
Осишнюк,
Письменчук,
Негуренко,
Довжук,
Бідак,
Шевченко,
Маруда,
Пустовіт,
Рибак,
Космаль,
Мельник,
Кривенький,
Чернявський,
Кучеренко,
Похитайло,
Бурлака,
Ткач,
Чижевський,
Руденко,
Ладижеський,
Вовчек,
Шлапак,
Довгань,
Кравченко,
Дунаєнко,
Рябий,
Ткачук,
Малихатка,
Безкровний,
Ратушний,
Химчак,
Коломієць,
Кондратюк,
Радзіковський,
Довгасов,
Лисак,
Білоусов,
Федоренко,
Бондар,
Ярмилов,
Мирований,
Рябинчук,
Мосієнко,
Мосеєнко,
Немеровський,
Довнар,
Овчарук,
Мидинський,
Мельниченко,
Швець,
Лановенко,
Гавага,
Гавга,
Рябий,
Кнуренко,
Наливайко,
Куций,
Марченко,
Панченко,
Грабчак,
Чижевський,
Довжук,
Бурлака,
Космань,
Рожновський,
Кузьмин,
Гавага,
Швець,
Бабенко,
Мазуренко,
Рудюк,
Ратушний,
Новохацький,
Мединський,
Фещенко,
Мусієнко,
Мосієнко,
Коваленко,
Гончаренко,
Слободяник,
Хмєль,
Хміль,
Онофрейчук,
Дунаєнко,
Струцький,
Мельник,
Телегань,
Кондратюк,
Салогуб,
Демидовський,
Письменчук,
Поліщук,
Довгань,
Негуренко,
Гайдай,
Довбнюк,
Драглюк,
Демчук,
Безталанний,
Чернявський,
Самутин,
Рибак,
Малихатка,
Красницький,
Пастушенко,
Сомик,
Горобець,
Скалозуб,
Подопригора,
Рибаченко,
Мацюк,
Нахайчук,
Химчак,
Вовк,
Очеретяний,
Овчаренко,
Овчарук,
Пріятельчук,
Мацюк,
Коломієць,
Кравченко,
Кривенький,
Шумський,
Дунаєнко,
Мельник,
Крамар,
Швець,
Мирований,
Наливайко,
Пріятельчук,
Мосієнко,
Пазичов,
Новак,
Рябий,
Нахайчук,
Танасійчук,
Ткачук,
Рудюк,
Мазуренко,
Довгань,
Кондратюк,
Хміль,
Овчарук,
Новохацький,
Котик,
Затоковой,
Коберник,
Волк,
Родюк,
Клименко,
Руденко,
Заградський,
Рибак,
Зотоковий,
Затоковий,
Рабінчук,
Прокопенко,
Красніцький,
Цикалюк,
Щур,
Онофрейчук,
Куций,
Похитайло,
Ревуцький,
Демчук,
Коротич,
Безкіш,
Слободяник,
Негуренко,
Подопригора,
Бабич,
Мельниченко,
Добридняк,
Ладиженський,
Линюк,
Гавага,
Громик,
Шлапак,
Пустовіт,
Білокопитюк,
Крижановський,
Саматінов,
Мамалига,
Мамченко,
Адос,Юдеї
Браславський,Юдеї
Клєйман,Юдеї
Люрік,Юдеї
Маламіт,Юдеї
Пучков,Юдеї
Саматінов,Татарин
