ф оп спр,,Юдеї1,Юдеї2,Юдеї3,Юдеї4,Юдеї5,Юдеї6,Юдеї7,Юдеї8,Юдеї9,Юдеї10,Юдеї11,Юдеї12,Юдеї13,Юдеї14,Юдеї15,Юдеї16,Юдеї17,Юдеї18,Юдеї19,Юдеї20,Юдеї21,Юдеї22,Юдеї23,невизначеності Меєровича
384-4-146,,Абрамовіч,Балін,Боверман,Бусієвич,Вуйнштейн,Гойхман,Губерман,Елькіс,Каган,Ковальський,Кочук,Ланда,Літвак,Мелама/ит,Найфельд,Пергамен,Рапопорт,Рубельський,Сте/исін,Фельдман,Фука,Шагетович,Шпіц,Беринтсон?
384-4-147,,Аврамсон,Бейзель,Болоєвський,Бусловіч,Вулах,Гол(ь)денберг,Гун,Ельяш,Казаков,Ковельман,Крамськи/ой,Ланде,Ліховецер,Меламед/т,Неміровський,Перельзон,Ребельський,Рузинський,Столерман,Фенштейн,Фукс,Шапіро,Шпіцберг,Боринштейн
384-4-148,,Аген,Бейсая,Болтак,Бух,Галант,Гол(ь)штейн,Гунь,Естис,Кайф,Ковельман,Кранц,Лахманчук,Ліхштейн,Мелінов,Нимировський,Перельман,Рейвіч,Саледар,Столяр,Фефер,Фунт,Шаповалов,Шпо/ан,Вайсбурт?
384-4-149,,Айзенберг,Бекер,Болтанский,Бухальтер,Ганопольский,Голдштейн,Гуральник,Ефріс,Калюжний,Когон,Красний,Левін,Ловінський,Мельник,Ніренберг,Перковський,Рейзен,Салцман,Сторчак,Финьшров,Хазін,Шапсіс,Штейн,Ваншин
384-4-150,5,Айзінберг,Беліловський,Бравеман,Вайнер,Гельштейн,Голоброцький,Гурфінкель,Ефрус,Каплуновіч,Кодель,Креер,Лейбензон,Лоза,Меніс,Новік,Перл,Рейлер,Самгородецький,Стриковський,Фирштейн,Хаімович,Шатевський,Штейнберг,Василевский?
384-4-151,,Алпер,Белхер,Бравер,Вайсбант,Генін,Голт-Файн,Давидович,Єліс,Кац,Козаков,Крейн,Лейденм/сон,Лойтерштейн,Метельмон,Новофастовський,Перлень,Ремез,Сапожнік,Суд,Філштейн,Халатнік,Шварц,Штелівкер,Вейберг
384-4-152,,Альберг,Бельхер,Брандес,Вайсман,Генріх,Голтштейн,Данішевський,Забара,Качка,Койліч,Кривицький,Лерер,Лошак,Мешуріс,Нолошин,Песензон,Рєзнік,Сафра,Тартаковський,Фінгер,Хамер,Шварцман,Штенберг,Волошин
384-4-153,,Альперн,Бенцин,Брантман,Вайсфельд,Герше/унзон,Голуб,Две/орис,Зайц,Качур,Койман,Криволуцький,Лернер,Лукацький,Мєдвєдь,Нонер,Півень,Ризовський,Сафран,Таубензон,Фінгерит,Харьк,Шварцтух,Штолівкер,Вуйштейн
384-4-154,,Альшенецький,Берг,Брасіловський,Вайшель,Гершенгорн,Голцман,Декелбойм,Залманзон,Квас,Койсман,Кріткцейл,Лєвков,Лукач,Мєлінов,Нудельман,Піковскі,Риков,Сафріс,Таубман,Фірфер,Хасіс,Шейнис,Штромберг,Вулах
384-4-182,10,Амбург,Бергер,Бреслер,Валд,Гершенович,Гольденберг,Демб,Залцман,Квасник,Койфман,Кроп,Липовецький,Лутман,Мєн,Нудь,Полішук,Римський,Сафьян,Тейвельман,Фірштейн,Хінчен,Шейніс,Штульсейзен,Вунштейн
384-4-183,,Апіс,Бердичевський,Бріман,Ваншиль,Гершзон,Гольмштейн,Дехтярь,Заславський,Квенцель,Колба,Крофейс,Липовський,Луцький,Мєстецький,Нусінов,Полонський,Ричкін,Сигал,Тейтельбойм,Фіш,Хмельницький,Шейферман,Шулімов,Гвахтерович?
384-4-184,,Ароновський,Бере/інштейн,Бродецький,Варвак,Герштейн,Горб,Дижанський,Зац,Квенциль,Коломе/и/ійський,Крум,Лиси,Лушер,Мєстецький,Нутовіч,Поляк,Різак,Сигар,Тепер,Фішбан,Хрізман,Шерінець,Шулімович,Гинзберг
384-4-185,,Балтінскі,Березовський,Бродський,Вахтіль,Гершфельд,Горбач,Диневич,Зейгермахер,Кельнер,Колтун,Крупнік,Лисий,Любарський,Мєстєцькін,Нюнько,Помаранц,Ровінський,Сігал,Тернер,Фішбойн,Хуверс,Шехтер,Шуль,Голбштейн
,,Бар,Бик,Бройде,Вейбер,Гехт,Горевіц,Дікштейн,Земельман,Керах,Корен,Крутянский,Ліберман,Люберчук,Мєстєчкін,Оксман,Постов,Рожинко,Сірак,Токер,Фішгоф,Хурвіс,Ши/енкар,Шуф,Гохштейн
,15,Барденштейн,Бистре/іцький,Бройдецький,Вейцман,Гильман,Горіловський,Долгопят,Землеруб,Кернер,Коренфельд,Круш,Лібо,Людмирський,Мисловський,Орентліхер,Постол,Розен/мберг,Скражевецький,Тотбрат,Фішман,Царовський,Шильман,Щетельман,Гродецкий
