№,Лист,Тип документа,НП що згадуються,Церква,Священнослужителі,Записи про,Рік ,Нотатки
134,636-641,метрична книга,сл. Веселая,Покровская,,"народження, шлюб, смерть",1793,
135,641,сповідний розпис,,,Михаил Каренитский,,1797,
136,642-651,сповідний розпис,с. Нижний Бурлучек,Троецкая,,,,
137,652,реєстр (стан церков),,,,,1797,
138,653,метрична книга,сл. Терни,,,народження,1797,
139,654-662,метрична книга,сл. Терни,,,"народження, шлюб",1797,
140,662,метрична книга,,,,народження,1797,
141,663-665,метрична книга,,,Петр Веселовский,"народження, шлюб, смерть",1797,
142,665,метрична книга,сл. Жигайловка,Покровская,Петр Сукачев,народження,1797,
143,666-668,метрична книга,,,,"народження, смерть",1798,
144,668,метрична книга,сл. Веселая,,,смерть,1793,
145,669-675,метрична книга,с. Петропавловка (?),,,"народження, шлюб, смерть",1797,
146,675-679,метрична книга,с. Муратово,Николаевская,Василий Коробчанский,"народження, шлюб, смерть",1797,
147,680-686,метрична книга,с. Штормовое ?,,Иосиф Козменков,"народження, шлюб, смерть",1797,
148,687-695,метрична книга,с. Шульгинка,Николаевская,,"народження, шлюб, смерть",1797,
149,696-703,метрична книга,с. Староайдарское,Архангельская,Андрей Воскобойников,"народження, шлюб, смерть",1797,
150,704-707,метрична книга,с. Райгородское,Николаевская,Роман Попов,"народження, шлюб, смерть",1797,
151,708-715,метрична книга,с. Новое,Архангельская,"Даниил Пантелеймонов, Петр Лядский","народження, шлюб, смерть",1797,
152,716-720,метрична книга,,,,"шлюб, смерть",1795,
153,720-728,метрична книга,г. Харьков,Благовещенская,"Иоанн Курасовский, Петр Рожанский","народження, шлюб, смерть",1795,
154,729-748,метрична книга,сл. Белка,,,"народження, шлюб, смерть",1795,
155,749-751,метрична книга,г. Лебедин,Соборная Успенская,,"шлюб, смерть",1795,
156,752-774,метрична книга,сл. Ворожба,,,"народження, шлюб, смерть",1795,
157,775,метрична книга,сл. Ворожба,Преображенская,,народження,1795,
158,776-788,метрична книга,сл. Савинцы,,,"народження, шлюб, смерть",1786,
159,789-796,метрична книга,с. Великий Истороп,Пятницкая,,"народження, шлюб, смерть",1795,
160,797-802,метрична книга,сл. Межирич,,,"народження, шлюб, смерть",1795,
161,803-807,метрична книга,сл. Межирич,Архангельская,,"народження, шлюб, смерть",1795,
162,808-818,метрична книга,сл. Юнаковка,,Иоаким Рыболов,"народження, шлюб, смерть",1795,
163,819-820,метрична книга,г. Недригайлов,Соборная Покровская,,смерть,1795,
164,821-832,метрична книга,г. Недригайлов,Николаевская,,"народження, шлюб, смерть",1795,
165,833-848,метрична книга,сл. Ольшаная,Архангельская,,"народження, шлюб, смерть",1795,
166,849-852,метрична книга,с. Гринцевая,Покровская,,"народження, шлюб, смерть",1795,
167,853-861,метрична книга,с. Штеповка,,Авксентий Ковалевский,"народження, шлюб, смерть",1795,
168,862-864,метрична книга,сл. Непокрытая ?,Николаевская,,смерть,1795,
