Старовичі,"ДАКО 384-9-453. 1897 рік. Листи перепису Радомисльський повіт Розважівська волость с. Старовичі, 13-а переписна дільниця, 8-а рахункова.pdf", + ,ДАКО_384-9-454._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Старовичі%2C_13-а_переписна%2C_8-а_рахункова_частина_2.pdf,Олива (Мар'янівка),"ДАКО_384-9-449._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Олива,_сл._Мар’янівка,_13-а_переписна_6-а_рахункова_частина_2.pdf",,,Олизарівка,ДАКО_384-9-455._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Олизарівка%2C_13-а_переписна_дільниця%2C_11-а_рахункова.pdf, + ,ДАКО_384-9-457._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Олизарівка%2C_13-а_переписна_дільниця%2C_11-а_рахункова_частина_2.pdf,"Красилівка, Осниця",,ДАКО_384-9-456._1897_рік._Листи_перепису_Радомисльський_Розважівська_Красилівка%2C_Осниця_13_переписна_11_рахункова_частина_2_та_3.pdf,,Заруддя,ДАКО_384-9-452._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Заруддя%2C_13-а_переписна_дільниця%2C_7-а_рахункова_частина_3.pdf,ДАКО_384-9-451._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Заруддя%2C_13-а_переписна_дільниця%2C_7-а_рахункова_частина_2.pdf,"ДАКО_384-9-450._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Заруддя,_13-а_переписна_дільниця,_7-а_рахункова.pdf",Кухарська сл.,ДАКО_384-9-448._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Слобода_Кухарська%2C_13-а_переписна_дільниця%2C_6-а_рахункова.pdf,,,Кухарі,ДАКО 384-9-444. 1897 рік. Листи перепису Радомисльський повіт Розважівська волость с. Кухарі 13-а переписна 5-а рахункова.pdf,ДАКО_384-9-445._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_2.pdf,ДАКО_384-9-446._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_3.pdf,ДАКО_384-9-447._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Кухарі%2C_13-а_переписна_дільниця%2C_5-а_рахункова_частина_4.pdf,Ханів,ДАКО_384-9-442._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_волость_с._Ханев%2C_13-а_переписна_дільниця%2C_4-а_рахункова.pdf, + ,ДАКО_384-9-443._1897_рік._Листи_перепису_Радомисльський_повіт_Розважівська_с._Ханев%2C_13-а_переписна_дільниця%2C_4-а_рахункова%2C_частина_2.pdf
Ничипоренко,1,10,,Яворский,3,16,Скловская,Ковальчук,8,11,,Шуба,1,2,Верес,Оксёненко,6,27,ЦПШ,Осипенко,,2,Дударь,Ткач,10,51,Бубнов,,Ющенко,3,13,
Нечипоренко,4,14,Маслюченко,Жуковский,1,8,Скловская,Тернуза,8,,,Омшанский,1,,Кр.общ.крестьян,Грек,4,28,,Строкаль,,4,,Гарай,3,9,"Бубнов, Моргун",,Юрченко,15,105,
Романенко,1,,Нечипоренко,Ласкаревский,1,2,Скловская,Селегей,1,14,Тернуза,Курганский,9,,Ермак,Герасименко,13,81,,Табала,4,25,,Ступак,4,22,"Бубнов, Лукьяненко",,Годун,1,,Юрченко
Комарчук,1,7,,Милевский,2,6,"Скловская, Бубнов",Ермак,7,11,Шуба,Гельман,6,,Омшанский,Порохнюк,,5,,Шашко,1,,Табала,Довженко,2,4,Торосенко,,Мельник,3,11,
Базы/ильчук,1,2,,Линкевич,1,2,Скловская,Йовженко,2,33,,Клейнер,2,,Омшанский,Проценко,2,10,Порохнюк,Потапенко,1,,Гаращенко,Городний,8,42,Сираш,,Несен,2,9,
Комарь,1,2,,Туровский,1,3,Скловская,Ющенко,7,15,,Факторович,3,,Омшанский,Давиденко,,9,,Порохнюк,,4,Гаращенко,Сугак,3,4,"Городний, Бубнов, Рымар",,Ткач,4,25,
Савченко,9,42,Комарь,Ковальский,1,5,Скловская,Качанова,1,,Троценко,Кулевский,6,,,Сурженко,11,71,,Лисинецкий,2,6,Скидецкий,Рубан,,5,,,Сульженко,,7,
Кузьменко,2,12,Иваненко,Романенко,12,74,Сокольник,Шевчук,5,,,Барановский,5,11,,Иваниченко,,2,,Бух,,7,Порохнюк,Тарасенко,4,22,,,Дубас,3,14,Сергиенко
Королев,1,,Кузьменко,Ильницкий,2,5,Романенко,Радченко,4,,Матюшка,Плечка,1,,Барановский,Примаченко,3,19,,Кацавский,1,,Порохнюк,Видьман,,2,Торосенко,,Татушенко,1,,Юрченко
Демяненко,4,21,,Терещенко,1,,Романенко,Парницкий,7,28,,Тычина,2,7,,Руденко,,2,Пархоменко,Болячевский,1,,Порохнюк,Пичугин,,2,Бубнов,,Трояновський,2,10,"Гавриленко, Броницкий Кс."
Гречкосей,3,20,,Лакомский,1,2,,Волошенова,1,",",Парницкий,Ленкевич,2,,Тычина,Лосинский,1,,Пархоменко,Иванов,,6,Бубнов,Никонов,1,,Бубнов,,Дубинский,,2,Гавриленко
Несен,1,5,,Савченко,1,,Лакомский,Давиденко,7,13,,Стружинский,1,,Тычина,Мельниченко,4,16,ЦПШ,Стецюренко,,3,Лопушенко,Усов,1,,Бубнов,,Рувинский,,2,Гавриленко
Иваненко,1,4,,Петренко,6,41,,Герасименко,4,,Давиденко,Быченок,1,,Тычина,Даниленко,19,111,"Бранитский Вл.Ал., Савлев",Грушецкий,,9,,Концевич,1,,Бубнов,,Холоденко,,4,Броницкий Кс.
Москаленко,1,4,Риндин,Маслюченко,1,,Петренко,Гончаренко,1,2,"Шуба, Парницкий",Ляшков,2,,Сенинский,Малюк,2,13,,Сычев,,12,,Благушин,2,3,Бубнов,,Буткевич,1,,ЦПШ
Захаревич,1,4,,Оноприйчук,1,,Романенко,Матюшко,3,35,,Верес,5,35,"Оборский, Зиневич",Пономаренко,5,42,,Скидецкий,,3,,Лыч,2,2,Бубнов,,Давиденко,13,88,ЦПШ
Верес,3,17,Годун,Королевская,1,,,Щербак,5,14,,Маргулец,11,,,Ковальчук,,2,Мельниченко,Яновский,,2,Балабин,Ганзей,,5,Бубнов,,Воловенко,3,25,
Малевич,1,8,,Леоненко,1,,Романенко,Захарчук,7,13,,Оборский,5,79,Хилькевич,Трофименко,,5,,Соколовский,,8,Бубнов,Смовж,1,,Бубнов,,Антоненко,,11,
Журид,2,11,"Риндин, Дыбенко",Вольский,1,2,,Отрошенко,5,18,Руденко,Кулаковский,7,14,,Евфименко,4,12,Трофименко,Попроцкий,,9,Скловский,Левенцов,,3,Бубнов,,Моргун,2,11,
Лисовой,1,3,Риндин,Березнюк,1,7,,Козленко,3,62,,Зиневич,8,49,,Оврутский,1,,Сорокотяга,Яворский,,8,Скловский,Данилин,,5,Бубнов,,Лисинецкий,,4,Гончар
Пе/арельман,1,8,Ст.общ.крестьян,Титенко,1,,Сокольник,Левковский,2,,Козленко,Мурга,1,,Зиневич,Науменко,2,10,ЦПШ,Тетерский,,6,Скловский,Климчук,,5,Бубнов,,Бондар,5,30,
Кадц,1,,Ст.общ.крестьян,Кравченко,1,,Сокольник,Власенко,1,,Комаренко,Куреневский,8,,,Дубас,3,20,,,,,,Приймаченко,1,,Бубнов,,Герцман,1,,Гавриленко
Рабичев,4,18,"Скоренко, Дыбенко",Сельский,2,12,Сокольник,Замотаев,1,,Козленко,Губринский,1,,Куреневский,Лыч,2,16,,,,,,Корицкий,,3,,,Усенко,,5,
Хабенский,1,,Скоренко,Курьята,2,15,,Лысенок,1,,Козленко,Татарчук,6,,,Бондар(ь),3,27,(Бондарова),,,,,Максименко,4,17,Дудар,,Воробей,1,,Руденко
Русаковский,1,,Скоренко,Ропотовский,1,6,,Котусенко,1,,Шуба,Моргулец,1,,Верес,Ваховский,,,Сурженко,,,,,Кучер,2,13,,,Герасименко,2,13,
Шулькевич,1,8,Дыбенко,Верес,1,4,,Руденко,7,,,Ткаченко,1,,Верес,Романчук,1,,Грек,,,,,Евфименко,9,53,,,Костюченко,1,,Пилипчук
Погорилый,1,2,Ст.общ.крестьян,Варовский,1,8,,Петрищенко,6,,,Гипке,7,11,"Татарчук, Емельянов",Корниенко,,3,,,,,,Юрченко,1,,Лукьяненко,,Дмитренко,1,,Давиденко
Кабановский,1,8,Маслюченко,Оборский,4,22,,Евженко,7,,,Мартен,2,,Татарчук,Йовинко,,11,,,,,,Давыденко,,7,Антоненко,,Василенко,2,8,Давиденко
Овруцкий,1,6,Маслюченко,Бороховский,1,4,,Матюхова,1,,Парницкий,Биг/пус,1,,Татарчук,Сычевский,,5,Общ.дом крестьян,,,,,Мирончук,,3,,,Кудрицкий,1,,Руденко
Кобановский,1,4,Ткаченко,Пьюро,2,12,,Пархоменко,4,,Сай,Остринский,5,22,Хилькевич,Марченко,1,,Общ.дом крестьян,,,,,Будник,5,26,,,Устюменко,,6,
Заика,1,8,Маслюченко,Попроцкий,4,21,,Котовец,7,13,"Шуба, Комаренко",Пархоменко,1,,Оборский,Шилягин,,9,Пономаренко,,,,,Михайленко,6,22,"Будник, Кузьменко",,Потапенко,,6,
Плоткин,1,2,Маслюченко,Метлицкий,1,3,Попроцкий,Коростышевский,1,,Шуба,Прибыток,3,10,Оборский,Вайнерман,3,11,"Макаренко, Савченко, Бранитский Вл.Ал.",,,,,Максимец,,4,,,,,,
Гера,1,7,,Гольчевский,1,9,Оборский,Малинский,4,8,"Зинченко, Селегей",Романенко,1,,Оборский,Дворцин,,4,Бранитский Вл.Ал.,,,,,Криволап,3,26,,,,,,
Кофман,1,,Дыбенко,Анусевич,1,,Оборский,Дорфман,1,,Зинченко,Пашинский,10,19,,Ямпольский,,2,Бранитский Вл.Ал.,,,,,Лапушенко,3,19,,,,,,
Бладовский,1,,Дыбенко,Гурко,1,9,,Каминский,4,10,"Зинченко, Шуба",Лисовский,5,12,,Куперштейн,1,,Бранитский Вл.Ал.,,,,,Семенчук,,7,,,,,,
Поляк,1,2,Дыбенко,Губинский,1,6,Гурко,Гельман,3,,Шуба,Соколовский,1,,Зиневич,Метнер,3,16,"Сорокотяга, Гниденко, Даниленко",,,,,Коваленко,4,29,,,,,,
Сольская,1,,Дыбенко,Мурга,2,14,Пернацкий,Тыстор,2,,Шуба,Перельман,10,,,Пальшевский,1,,Сорокотяга,,,,,Каттани,,2,Бубнов,,,,,
Миньковский,1,9,Несин,Кулаковский,2,14,,Дымарчук,3,,Шуба,Покришевский,1,,Перельман,Пискун,1,,Сорокотяга,,,,,Покосовская,1,,Бубнов,,,,,
Куценок,1,8,Дыбенко,Маркевич,1,7,,,,,,Мисюра,1,,Оборский,Тузинский,3,11,"Гниденко, Бранитский Вл.Ал.",,,,,Рафальская,1,,Бубнов,,,,,
Кесальман,1,,Дыбенко,Зиневич,2,12,,,,,,Козленко,1,,Оборский,Штабачинский,,2,Сурженко,,,,,Андриевский,1,,Бубнов,,,,,
Еркес,1,,Дыбенко,Пернацкий,1,3,,,,,,Михаленко,5,9,Хилькевич,Провироцкий,,4,Колошенко,,,,,Рымар,6,37,Бубнов,,,,,
Кунда,1,5,Дыбенко,Остринский,1,5,Королевская,,,,,Повицкий,1,,Хилькевич,Понта,,10,Пономаренко,,,,,Сираш,1,3,,,,,,
Базилевский,1,2,Ст.общ.крестьян,,,,,,,,,Мазур,7,13,Хилькевич,Тишкевич,1,,Пономаренко,,,,,Клокун,1,,Сираш,,,,,
Павловский,2,6,"Риндин, Вельц",,,,,,,,,Назаренко,1,,Хилькевич,Боровский,1,,Гниденко,,,,,Пилипчук,1,,Заповоротний,,,,,
Демичь,1,2,Соболева,,,,,,,,,Севрук,3,,Зиневич,Кетель,2,12,"Гниденко, Бранитский Вл.Ал.",,,,,Козлач,,5,,,,,,
Жигадло,1,6,Ставров,,,,,,,,,Сорочинский,1,,Зиневич,Полищук,,3,Макаренко,,,,,Идутный,1,,Довготелесый,,,,,
Людвиченко,1,9,Ставров,,,,,,,,,,,,,Йонас,,6,Потапенко,,,,,Полевой,1,,Довготелесый,,,,,
Мургов,1,7,Ставров,,,,,,,,,,,,,Левкович,1,,Потапенко,,,,,Дука,2,19,,,,,,
Ильницкий,2,7,Ставров,,,,,,,,,,,,,Барц,,2,Потапенко,,,,,Кириченко,3,24,Терпуженко,,,,,
Ляхевич,1,4,Ставров,,,,,,,,,,,,,Кейдинг,,3,Гниденко,,,,,Тарасенко,2,7,Моргун,,,,,
Воровский,1,3,Ставров,,,,,,,,,,,,,Марквард,1,,Гниденко,,,,,Онищенко,,6,,,,,,
Верес,2,11,Ставров,,,,,,,,,,,,,Зданович,1,,Гниденко,,,,,Флейшман,,8,Бубнов,,,,,
Прищепова,1,,Ставров,,,,,,,,,,,,,Курц,,3,Бондар,,,,,Оксион,,9,Бубнов,,,,,
Огринский,2,18,Ставров,,,,,,,,,,,,,Буяриков,,4,Сурженко,,,,,Шнейдерман,1,,Бубнов,,,,,
Будниченкова,1,,Ставров,,,,,,,,,,,,,Патюн,1,,Бранитский Вл.Ал.,,,,,Посрман,,4,Бубнов,,,,,
