Листы,Тип,Год,Нас. Пункт,Церковь,Священник,Комплектация,Фамилии,@dropdown,,,
,https://www.familysearch.org/ark:/61903/3:1:33SQ-GGYM-9KPP?cc=1503045&cat=788011,,,,,,,,,,
2-4,исповедка,,,Николаевская,,"Нет фамилий.
Последний лист с таблицей",,,,,
4-6,исповедка,,Буровка,,,73-76,Жилцов ?Куловзин ?Снабцов Сотниченко Бычков,,,,
6-31,исповедка,,Ахтырка,Покровская,,158-234,,,,,
31-33,исповедка,1791,Бытица,Александра Невского,Евстафий Иванов,1-3,,,,,
33-65,исповедка,,Мерчик,Всехсвятская,Грабовский Пипенко Еремеев,55-до конца,,,,,
65-98,исповедка,,Лебедин,,,7-до конца,,,,,
98-103,метрика,,,Николаевская,Чебанов,"О рождении: 9 и до конца.
О браке: всё.",Запороженко Стрилаченко Хомутко Запиренко Куреной Воловок Сторченко Устименко Нихоенко Купиващенко Коваленко Василенко Поповченко Погореленко Чернявская Зубовенко Лазуренко Майстренко Пивоваренко Сероклин Иванеенко Вопиваченко Запоренко Ляшков Ляшкин Куплевакский Голенко Куличенко Догодайко Соляниченко Чуисенко Нежиенко Чернищенко Догодайленко Сточеленко Казаченко Черевской Нехода Игначенко Бондаренко Лещенков Куплеващенко Зеполоченко,,,, 
103-104,метрика,,"Купянский уезд: Смородковка, Гусинка, Моначиновка",,,70-76,,,,,
104-115,исповедка,,Черемушная,Преображения Господня,Семенов,60-133,,,,,
115-116,,,,Димитриевская,,21-22,Коробков Коновалов Постин,,,,
116-160,исповедка,прибл.1787,Писаревка (Сумський повіт),Покровская,,35,,,,,
161-170,исповедка,,,,,Часть 140 номера – 176 номер,Горбуляк Ононеенко Лехно Моренец Браславец,,,,
170-173,исповедка,173*,Хорошево,Вознесенская,поп Сава,Вся,,,,,
174-190,исповедка,1795,Город,Архангельская,Интеллигаторов,,,,,,
190-208,исповедка,,Новая Водолага,,,,,,,,
