Католики,А,Б1,Б2,Б3,В1,В2,В3,Г1,Г2,Д1,Д2,Е,Є,Ж,З1,З2,І,Й,К1,К2,К3,К4,Л1,Л2,М1,М2,М3,Н,О,П1,П2,П3,Р1,Р2,Р3,С1,С2,С3,Т1,Т2,У,Ф,Х,Ц,Ч,Ш1,Ш2,Щ,Ю,Я
,Анушевський,Баранський,Бобриков,Бричкін,Васільковський,Вільчинський,,Гаськевич,Грибовський,Дашевський,Домінік,,,Жуковський,Залинський,,Іхциков,,Канарський,Козарчук,Котовський,Кужель,Лашпарський,Лонський,Малінкевич,Михайлов,Мрва,Невіровський,Опольський,Пасюк,Піотровський,Прентакій,Расевич,Рогозінський,Руцький,Саржинський,Сливінський,Степанюк,Ткачук,,,Фоншенінг,,Ціхоцький,,Шеренгов,,,,Яновський
,Артемиков,Барушек,Богач,Брна,Вглюбецький,Вінярський,,Гедлєр,Григорієв,Двожак,Дорожинський,,,Жураковський,Залюбовський,,,,Каневський,Козловський,Коцишевський,Кузмин,Левандовський,Лончинський,Маліновський,Михайловський,Мужаревський,Недєльський,Орачевський,Пахлевецький,Піоцький,Придатко,Ратинський,Рогульський,,Сарницький,Слончинський,Степич-Котульський,Тоболевич,,,Франкоський,,,,Шестаков,,,,Янушкевич
,Арциновський,Барщевський,Богачик,Бруєвський,Вейман,Віронбіцький,,Гедройць,Гринкевич,Дворжанський,Дорошевський,,,,Заремба,,,,Капєський,Козубовський,Кочак,Кузминський,Левицький,Лопушанський,Маминкевич,Михальський,Музика,Недзєльський,Орженцький,Пахольовецький,Піскарський,Прокопенко,Рау,Родзіковський,,Сатинський,Слотвинський,Стець,Товіянський,,,Фріда,,,,Шиманський,,,,Янчевський
,Атаманов,Бачинський,Богданський,Бруховський,Вейт,Віслоцький,,Гейнеман,Грицкевич,Девейкіс,Држевецький,,,,Зарницький,,,,Карбовський,Колодинський,Коченовський,Кузьминський,Левінський,Лосовський,Маричєк,Мікуловський,Музиченко,Никифоров,Орловський,Пацановський,Піскорський,Прошковський,Рачинський,Рожновський,,Сахацький,Слунчинський,Стімковський,Товкач,,,,,,,Шимко,,,,Яроцький
15,Ачкевич,Бендера,Богонос,Бурковський,Вельде,Вітковський,,Герваза,Грінкевич,Де-Жорж,Дробуновський,,,,Заруцький,,,,Карпінський,Колосовський,Кочеровський,Кулеша,Лементовський,Лубковський,Маркевич,Міліневський,Мульчик,Нинцинський,Орсаг,Пачевський,Плахцинський,Пршебильський,Рачковський,Розвадовський,,Сачинський,Слупський,Стінський,Тодорович,,,,,,,Шипріт,,,,Ясанський
,,Бентковський,Богоцький,Буровський,Венгранович,Вітте,,Глембоцький,Гродецький,Дейзнер,Дрогомирецький,,,,Зауха,,,,Карпов,Колч,Кравцов,Кулчицький,Леонов,Луженецький,Марковський,Міллер,Мусевич,Ниньцинський,Оскерко,Пашкевич,Плінський,Пудзяновський,Регінтовський,Ролінський,,Свинцицький,Смоленський,Стобольський,Токарський,,,,,,,Шишковський,,,,Ясинський
,,Березовський,Богуславський,Буруцький,Венславович,Вовна,,Глумбієвський,Гродицький,дель Кампо Сципіо,Дубинський,,,,Зверховський,,,,Карський,Кольчевський,Кравчинський,Кульчевський,Лепковський,Лукасевич,Мартинов,Мілобендзський,Мусіневич,Нідзельський,Осовський,Пашковський,Плісецький,Пухальський,Реймановський,Роля,,Свиридовський,Снеденчук,Стралковський,Томасевич,,,,,,,Шкейстер,,,,Ясінський
,,Бернатович,Богуцький,Бутіков,Верещак,Войнаровський,,Глумбоцький,Гродіс,Дембіцький,Дубінецький,,,,Звєзда,,,,Карчевський,Комарницький,Кравчук,Кульчицький,Лещинський,Лукашевич,Мартиновський,Мілянський,Мяновський,Новаковський,Островський,Пашута,Плохецький,Пуцко,Ренкевич,Романовський,,Свідзінський,Сніховський,Стрелецький,Томасєвич,,,,,,,Шкультетий,,,,Ястремський
,,Бернацький,Божимський,Бучинський,Вержанський,Войскібер,,Гнутовський,Грозицький,Дембровський,Дугаєвський,,,,Звєржховський,,,,Касенер,Комлічинський,Краєвський,Кунашевський,Лєнчицький,Луков,Маршалек,Міньковський,,Новачевський,Острожинський,Пенкальський,Погоський,Пфайфер,Реньковський,Романченко,,Свіжевський,Собанський,Струбчевський,Томашевич,,,,,,,Шлєнкер,,,,Яцкевич
20,,Бехін,Болтуцький,Буяк,Вержбицький,Войтка,,Голайський,Гроссе,Демидецький,Дуковський,,,,Звєрховський,,,,Качак,Кондратський,Крамарський,Кундеревич,Лєсіовський,Луцук,Масловський,Міняковський,,Новицький,Охоцький,Пенькальський,Подбєльський,Пшегодський,Репаховський,Росовецький,,Свірський,Собєщанський,Струтинський,Томашевський,,,,,,,Шмагиревський,,,,Яцковський
