"Обуховичи, Станишевка","Обуховичі, Станішівка",,,Господарі,Станішівка,,Обуховичі 1932-33,,Лишні
Пархоменко,Пархоменко,39,194,"Козел, Любиш, Козяр, Давыденко",Пархоменко,Перхоменко,Пархоменко,,Глущенко
Моисеенко,Моісеєнко,24,133,"Осадчий, Шумак, Йовко",,,Мойсеєнко,Мойсієнко,Євстратенко
Шумак,Шумак,22,112,"Йовко, Пособчук, Денисенко",,,Шумак,,Єлишун
Козяр,Козяр,26,112,"Харитончук, Колянчук, Есипенко",,,Козяр,,Єрмоленко
Василенко,Василенко,19,106,Кондратенко,,,Василенко,,Іваненко
Денисенко,Денисенко,19,103,"Козел, Руденко, Степаненко",Денисенко,,Денисенко,,Калинчук
Коваль,Коваль,16,99,Бирюк,Коваль,,,,Кирилова
Гриценко,Гриценко,17,96,Дмитренко,,,,,Костомаха
Любиш,Любиш,16,82,Василенко,Любиш,,Любиш,,Микова
Харитончук,Харитончук,14,81,"Примаченко, Хоменко",Харитончук,,Харитончук,,Мусієнко
Дави/ыденко,Давиденко,15,78,Шумак,Давиденко,,Давиденко,,Мусієнко
Бабенко,Бабенко,10,63,,,,Бабенко,,Портной
Глеевой,Глеєвий,12,61,"Борсук, Моисеенко",,,Глеєва,,Сидоренко
Степаненко,Степаненко,11,55,Троценко,,,Степаненко,,Трубайло
Степченко,Степченко,8,51,Ткаченко,Степченко,,,,Ярмоленко
Йовко,Йовко,9,51,"он же Шумак, Рабоконенко, Гук",,,Йовко,,
Прищепа,Прищепа,11,51,"Харитончук, Давиденко",,,Прищепа,,
Остапенко,Остапенко,8,50,,Остапенко,,Остапенко,,
Кудрицкий,Кудрицький,11,50,"Любиш, Колянчук, Денисенко, Давыденко",Кудрицький,,Кудрицький,,
Отрошенко,Отрошенко,9,48,,Отрошенко,,Отрошенко,,
Худенко,Худенко,8,44,Гриценко,,,Худенко,,
Гавриленко,Гавриленко,9,44,Отрошенко,,,Гавриленко,,
Пособчук,Пособчук,9,44,,Пособчук,,Пособчук,,
Колянчук,Колянчук,8,39,"Драпей, Давиденко, Остапенко",,,Колянчук,Коленчук,
Слободчик,Слободчик,9,39,"Давыденко, Космин",Слободчик,,Слободчик,,
Старовойт,Старовойт,8,38,Глеевой,Старовойт,,,,
Хоменко,Хоменко,7,34,Бабенко,,,Хоменко,,
Ус,Ус,8,34,"він же Усов, Любиш",,,Ус,,
Троценко,Троценко,5,33,"он же Степаненко, Ус",,,Троценко,,
Конончук,Конончук,7,32,,Конончук,,Конончук,,
Мартыненко,Мартиненко,7,32,"Ткач, Левковский",Мартиненко,,Мартиненко,,
Скопич,Скопич,7,32,Гриценко,,,Скопич,,
Ткаченко,Ткаченко,7,31,Денисенко,Ткаченко,,Ткач,,
Хабенский,Хабенський,4,30,"Моисеенко, Ус",,,Хабенський,,
Скабицкий,Скабицький,6,30,Петришко,,,Скабицький,,
Гук,Гук,5,29,,,,Гук,,
Кирийчук,Кирійчук,5,29,,,,Кирийчук,Кірійчук,Кирійчук
Кондратенко,Кондратенко,6,29,Давыденко,,,,,
Шульженко,Шульженко,7,29,,Шульженко,,Шульга,,
Мостовский,Мостовський,5,28,"Моисеенко, Шумак, Отрошенко, Степченко, Шмигун",,,,,
Ткач,Ткач,5,28,,,,Ткач,,
Петришко,Петришко,6,28,Пархоменко,Пертишко,Петрошко,Петришко,Першко,
Бондарь,Бондар,5,27,,Бондар,,,,
Курганский,Курганський,6,27,"Пособчук, Есипенко",,,Курганський,,
Кашпирка,Кашпирка,5,26,Степченко,Кашпирка,Кашпірко,,,
Есипенко,Єсипенко,3,25,,,,,,
Мартыщенко,Мартищенко,4,24,,,,Мартищенко,,
Якименко,Якименко,6,24,,,,,,
Белохвост,Белохвост,4,23,,,,Белохвост,Белофост,
Павленко,Павленко,4,23,,Павленко,,Павленко,,
Моцак,Моцак,5,23,,,,Моцак,,
Сирош,Сірош,3,21,,,,Сірош,,
Туркевич,Туркевич,4,21,Давыденко,,,,,
Кравченко,Кравченко,5,21,,,,Кравченко,,
Лавренко,Лавренко,3,20,,,,Лавренко,Лаврінко,
Воробей,Воробей,3,19,,Воробей,,,,
Яковенко,Яковенко,2,18,,,,,,
Рабоконенко,Рабоконенко,3,17,,Рабоконенко,,,,
Алексеенко,Олексієнко,3,14,"Троценко, Шумак",Олексієнко,,Олексієнко,,
Дмитренко,Дмитренко,3,14,,,,,,
Кос(ь)мин(ов),Кос(ь)мин(ов),3,14,Ткаченко,,,,,
Кузьменко,Кузьменко,3,14,Степаненко,,,,,
Грищенко,Грищенко,2,13,,,,Грищенко,Грещенко,
