ф оп спр,,Православні1,Православні2,Православні3,Православні4,Православні5,Православні6,Православні7,Православні8,Православні9,Православні10,Православні11,Православні12,Православні13,Православні14,Православні15,Православні16,Православні17,Православні18,Православні19,Православні20,Православні21,Православні22,Православні23,Православні24,Православні25,Православні26,Православні27,Православні28,Православні29,Православні30
384-4-146,,Абрамюк,Бабич,Бойко,Васільєв,Вродзій,Горлов,Денисов,Дячук,Завадський,Зубович,Карпенко,Ковтун,Костинко,Кулічевський,Лемені,Маковчук,Мельниківський,Морицький,Новаковський,Павловський,Подгорний,Ратушний,Савицький,Сидорчук,Смоленко,Суріков,Трофимчук,Ходоровський,Чихранов,Штайнер
384-4-147,,Абрегас,Бабичев,Бойчук,Васютинський,Гаврилюк,Горчаков,Дєдух,Ельсон,Завальний,Зубрін,Карпов,Когутницький,Костицький,Кулішевич,Лешенко,Макринін,Мельніченко,Морнєв,Новицький,Павлюк,Подгурський,Рачинський,Савінський,Сидюкін,Сніжинський,Сухий,Трусь,Холявинський,Чулимов,Шуманський
384-4-148,,Авра/еменюк,Базинський,Бондар,Вахович,Галицький,Гоцко,Дзюба,Євдокимов,Завялов,Зубченко,Карпович,Кодимський,Костін,Кулішов,Лєтков,Максимович,Мержинський,Морозов,Новіков,Папа-Афаносопуло,Подобоєв,Рачковський,Савчук,Сильвесюк,Собін,Суходольський,Тугак,Хоменко,Чумак,Шуткевич
384-4-149,,Агафонов,Баккалінський,Бондаревський,Вацек,Гандзюк,Грабцюн,Дзюбинський,Єгоров,Загайкевич,Іванжарський,Катарінегов,Козинов,Косткевич,Кульга,Либода,Макутин,Мещерський,Морозов,Новоселецький,Папе/іровський,Позняков,Ревякін,Салгак,Симинченко,Созонов,Сушицький,Тюрін,Хоментовський,Чумак,Шушкевич
384-4-150,5,Адомович,Банасевич,Бондарчук,Вашкевич,Гарівський,Гранковський,Дзюбич,Єгурнов,Загорський,Іваницький,Кафка,Козицький,Костмах,Кульчицький,Липинський,Малаховський,Мєловідов,Морошко,Ованесов,Папченко,Полі/ещук,Регурщук,Саліпов,Симинюк,Сокарчук,Сушко,Тюшкевич,Хомяк,Чунь,Щепанський
384-4-151,,Акимов,Баришов,Борошкін,Вдовенко,Гарієвський,Григорович,Дилевський,Ємініков,Загребельний,Іваніна,Качановський,Козлов,Костутовський,Куля,Липинчук,Малиновський,Мєрєнєв,Мостицький,Озерський,Парханюк,Поляков,Риба,Самойлюк,Симон,Соколов,Танасієнко,Укович,Хранцов,Шабалков,Щерабатюк
384-4-152,,Аксимович,Бартошук,Боціан,Веселов,Гарнаженко,Григорук,Дмитрюк,Єпішов,Задорожний,Іванов,Квітко,Козуньєв,Костюков,Кунончук,Липовецький,Маляр,Мєрєнов,Мошинський,Озимковський,Пасіка,Поляновський,Рибаков,Санчук,Сироткін,Соколовський,Таравський,Украінцов,Хріпунов,Шабанов,Щербина
384-4-153,,Александров,Бартюк,Боціян,Виборнов,Гегер,Гриздин,Добровольський,Єршов,Заєц,Іванченко,Квятковський,Козюк,Костюченко,Курач,Лисаковський,Мамалиженко,Миколайчук,Музика,Олейников,Пекарек,Попов,Рибачек,Сас,Ситар,Соловей,Тарасенко,Ульянченко,Хромов,Шаболкін,Щурук
384-4-154,,Альохін,Басюк,Бочковський,Виничук,Генич,Гринчук,Довгань,Єфимчук,Заїчко,Іващенко,Кеня,Колачихін,Кошелєв,Кусь,Лисий,Манілик,Мирошниченко,Мяло,Олексишен,Перепелиця,Попруга,Риковський,Сась,Ситарчук,Соловйов,Тарцинський,Фашейський,Царьов,Шантика,Юркевич
384-4-182,10,Андерле,Башуєв,Бочмалов,Витвіцький,Гераськін,Гринюк,Додін,Єфремов,Зайцова,Ігнатюк,Кияниченко,Колесинський,Кошиць,Куцеруба,Лиськевич,Манько,Михальський,Надворний,Олексюк,Петриковський,Послєдній,Роба,Сахаров,Сичевський,Соснюк,Тетерчук,Федорець,Цвікліс,Шатов,Яворський
