№,Surname,,,,стр
1,Мизецкий,,,,626
4,Нестеровский,,,,626
5,Сливинский,,,,626
8,Поставен?,,,,626
6,Грабарь,,,,627
10,Онищенко,,,,627
13,Лисенко,,,,627
11,Соломка,,,,627
15,Мазий?,,,,627
20,Багрий,,,,627
13,Соломка,,,,627
14,Драпой,,,,627
15,Федорченко?,,,,627
16,Полывяный,,,,627
17,Головань,,,,627
27,Примак,,,,627
28,Кучеренко,,,,627
32,Субота,,,,627
33,Евтушенко,,,,627
21,Белобровь,,,,627
23,Голубец,,,,627
37,Соломка,,,,627
39,Онищенко,,,,627
40,Кучеренко,,,,627
42,Кравченко,,,,627
43,Соломка,,,,627
44,Тупица,,,,627
46,Кравченко,,,,627
49,Ткаченко,,,,627
50,Сыч,,,,627
51,Онищенко,,,,627
52,Драпой,,,,627
53,Ворона?,,,,627
54,Домен?,,,,627
56,Зубриенко,,,,628
58,Голубец,,,,628
31,Мазий,,,,628
33,Шевченко,,,,628
35,Сторчевой,,,,628
62,Драпой,,,,628
63,Дубинин?,,,,628
66,Ори?,,,,628
67,Бабенко,,,,628
68,Головань,,,,628
69,Драпой,,,,628
39,Сыч,,,,628
71,Червенко,,,,628
40,Маслов,,,,628
75,Трафимов,,,,628
42,Титов,,,,628
46,Голубец,,,,628
51,Волосожар,,,,628
87,Демьяненко,,,,628
88,Стовбыра,,,,628
57,Яценко,,,,628
62,Третьяк,,,,629
64,Мазий,,,,629
68,Баран?,,,,629
70,Барычев?,,,,629
71,Тихомиров,,,,629
103,Романенко?,,,,629
104,Белобровь,,,,629
105,Бондаренко,,,,629
72,Евстратенко?,,,,629
73,Мар?,,,,629
106,Гордеенко?,,,,629
76,Касич,,,,629
78,Сларов?,,,,629
80,Яценко,,,,629
81,Драпой,,,,629
113,Белобровь,,,,629
82,Бондаренко,,,,629
85,Карапотенко,,,,629
121,Высоцкий,,,,629
90,Бондаренко,,,,629
101,Бойко,,,,630
104,Дзюндзя,,,,630
105,Бойко,,,,630
107,Ткаченко,,,,630
111,Соломка,,,,630
116,Слободенко,,,,630
123,Федорченко,,,,630
126,Коваленко,,,,630
148,Соломка,,,,630
129,Белоус,,,,630
139,Головань,,,,631
142,Скрипка,,,,631
123,Сыч,,,,631
